nodeID nodeLabel
4790 G_4790
79155 G_79155
154796 G_154796
7408 G_7408
57154 G_57154
3309 G_3309
5879 G_5879
23568 G_23568
1855 G_1855
8312 G_8312
10206 G_10206
396 G_396
10577 G_10577
4864 G_4864
5604 G_5604
8837 G_8837
10801 G_10801
9217 G_9217
5310 G_5310
87 G_87
55366 G_55366
23310 G_23310
149041 G_149041
7327 G_7327
1432 G_1432
2004 G_2004
10664 G_10664
3146 G_3146
56254 G_56254
51322 G_51322
11051 G_11051
3066 G_3066
8945 G_8945
246184 G_246184
51434 G_51434
5469 G_5469
10014 G_10014
7037 G_7037
10672 G_10672
7046 G_7046
26227 G_26227
2885 G_2885
6602 G_6602
64599 G_64599
6772 G_6772
7852 G_7852
2624 G_2624
161882 G_161882
55832 G_55832
1832 G_1832
5501 G_5501
351 G_351
23081 G_23081
3065 G_3065
4627 G_4627
2074 G_2074
6733 G_6733
249 G_249
23405 G_23405
3329 G_3329
3915 G_3915
3912 G_3912
10933 G_10933
3837 G_3837
5335 G_5335
5921 G_5921
9516 G_9516
23327 G_23327
4869 G_4869
498 G_498
1650 G_1650
3703 G_3703
1019 G_1019
1457 G_1457
672 G_672
2355 G_2355
2887 G_2887
1499 G_1499
5494 G_5494
3275 G_3275
6256 G_6256
55696 G_55696
6729 G_6729
10197 G_10197
55689 G_55689
153090 G_153090
8454 G_8454
7879 G_7879
57403 G_57403
22955 G_22955
8467 G_8467
10987 G_10987
8607 G_8607
84661 G_84661
10565 G_10565
5499 G_5499
5568 G_5568
7319 G_7319
1029 G_1029
118 G_118
3398 G_3398
54822 G_54822
22976 G_22976
10111 G_10111
4771 G_4771
6895 G_6895
51194 G_51194
1810 G_1810
1017 G_1017
6883 G_6883
4734 G_4734
6189 G_6189
6601 G_6601
5978 G_5978
1786 G_1786
53615 G_53615
7157 G_7157
2648 G_2648
2734 G_2734
5966 G_5966
11060 G_11060
1605 G_1605
9113 G_9113
10413 G_10413
9131 G_9131
3303 G_3303
11034 G_11034
25824 G_25824
7957 G_7957
5747 G_5747
51160 G_51160
613 G_613
11236 G_11236
3638 G_3638
51393 G_51393
7442 G_7442
4609 G_4609
23085 G_23085
10252 G_10252
868 G_868
8452 G_8452
4976 G_4976
7415 G_7415
51366 G_51366
309 G_309
86 G_86
79718 G_79718
4193 G_4193
4700 G_4700
4722 G_4722
7322 G_7322
2060 G_2060
960 G_960
573 G_573
5467 G_5467
8202 G_8202
23394 G_23394
648 G_648
11171 G_11171
3654 G_3654
3315 G_3315
996 G_996
1213 G_1213
9181 G_9181
54778 G_54778
7508 G_7508
9612 G_9612
9218 G_9218
4720 G_4720
10049 G_10049
10013 G_10013
115426 G_115426
5788 G_5788
5970 G_5970
8986 G_8986
9978 G_9978
3312 G_3312
3476 G_3476
79840 G_79840
26574 G_26574
1613 G_1613
10458 G_10458
55971 G_55971
2537 G_2537
5566 G_5566
1385 G_1385
6764 G_6764
3320 G_3320
5871 G_5871
54984 G_54984
7430 G_7430
5062 G_5062
5683 G_5683
6303 G_6303
8525 G_8525
6461 G_6461
6714 G_6714
5705 G_5705
6210 G_6210
79084 G_79084
4851 G_4851
5664 G_5664
2932 G_2932
8517 G_8517
2549 G_2549
5829 G_5829
3171 G_3171
3661 G_3661
64750 G_64750
4133 G_4133
1020 G_1020
5516 G_5516
10325 G_10325
64121 G_64121
5333 G_5333
801 G_801
5720 G_5720
5696 G_5696
7358 G_7358
983 G_983
5295 G_5295
6416 G_6416
26276 G_26276
23133 G_23133
55183 G_55183
302 G_302
5130 G_5130
9025 G_9025
124583 G_124583
3622 G_3622
3265 G_3265
8036 G_8036
25836 G_25836
5538 G_5538
5914 G_5914
6477 G_6477
2040 G_2040
324 G_324
8658 G_8658
23411 G_23411
5906 G_5906
1535 G_1535
57332 G_57332
10488 G_10488
638 G_638
4087 G_4087
23557 G_23557
6500 G_6500
26234 G_26234
23295 G_23295
55740 G_55740
3717 G_3717
7324 G_7324
11342 G_11342
5603 G_5603
409 G_409
2212 G_2212
6464 G_6464
5496 G_5496
3925 G_3925
5599 G_5599
7444 G_7444
3064 G_3064
83737 G_83737
5300 G_5300
4303 G_4303
5930 G_5930
51377 G_51377
7295 G_7295
6208 G_6208
6223 G_6223
55128 G_55128
22861 G_22861
2730 G_2730
3665 G_3665
7531 G_7531
678 G_678
4899 G_4899
23126 G_23126
5579 G_5579
598 G_598
1937 G_1937
81559 G_81559
22985 G_22985
54556 G_54556
25855 G_25855
6917 G_6917
2962 G_2962
30827 G_30827
80335 G_80335
4615 G_4615
83706 G_83706
79753 G_79753
5595 G_5595
6548 G_6548
79791 G_79791
595 G_595
11218 G_11218
4678 G_4678
5245 G_5245
7072 G_7072
5108 G_5108
55081 G_55081
3981 G_3981
1278 G_1278
10856 G_10856
29110 G_29110
637 G_637
834 G_834
8766 G_8766
5663 G_5663
4846 G_4846
1153 G_1153
7094 G_7094
5701 G_5701
5693 G_5693
